id,sku,title,description,category,price,tags
550e8400-e29b-41d4-a716-446655440024,HOM005,"Bed Sheets Set","Egyptian cotton bed sheets set queen size",home,79.99,"sheets,bed,cotton,egyptian,queen"
550e8400-e29b-41d4-a716-446655440025,HOM006,"Table Lamp","Modern LED table lamp with dimmer control",home,59.99,"lamp,table,led,modern,dimmer"
550e8400-e29b-41d4-a716-446655440026,HOM007,"Storage Ottoman","Multi-functional storage ottoman with cushion",home,69.99,"ottoman,storage,multi-functional,cushion,furniture"
550e8400-e29b-41d4-a716-446655440027,HOM008,"Picture Frame Set","Wooden picture frame set of 5 different sizes",home,39.99,"frames,picture,wooden,set,decoration"
550e8400-e29b-41d4-a716-446655440028,HOM009,"Candle Set","Scented candles set with relaxing fragrances",home,29.99,"candles,scented,relaxing,fragrances,aromatherapy"
550e8400-e29b-41d4-a716-446655440029,HOM010,"Wall Mirror","Large decorative wall mirror with frame",home,99.99,"mirror,wall,decorative,large,frame"
550e8400-e29b-41d4-a716-446655440030,BOO001,"Programming Guide","Complete guide to modern programming languages",books,49.99,"programming,guide,languages,technical,education"
550e8400-e29b-41d4-a716-446655440031,BOO002,"Mystery Novel","Best-selling mystery novel with unexpected twists",books,14.99,"novel,mystery,bestselling,fiction,thriller"
550e8400-e29b-41d4-a716-446655440032,BOO003,"Cooking Cookbook","International cuisine cookbook with 200 recipes",books,34.99,"cookbook,cooking,international,recipes,cuisine"
550e8400-e29b-41d4-a716-446655440033,BOO004,"Self-Help Book","Guide to personal development and success",books,19.99,"self-help,development,success,motivation,guide"
550e8400-e29b-41d4-a716-446655440034,BOO005,"Science Fiction","Epic space adventure science fiction novel",books,16.99,"science-fiction,space,adventure,novel,sci-fi"
550e8400-e29b-41d4-a716-446655440035,BOO006,"Art History Book","Comprehensive guide to world art history",books,59.99,"art,history,comprehensive,culture,reference"
550e8400-e29b-41d4-a716-446655440036,BOO007,"Children's Book","Illustrated children's book for ages 3-8",books,12.99,"children,illustrated,ages,education,story"
550e8400-e29b-41d4-a716-446655440037,BOO008,"Biography","Inspiring biography of a historical figure",books,24.99,"biography,historical,inspiring,non-fiction,life"
550e8400-e29b-41d4-a716-446655440038,BOO009,"Travel Guide","Complete travel guide to European destinations",books,29.99,"travel,guide,europe,destinations,tourism"
550e8400-e29b-41d4-a716-446655440039,BOO010,"Health & Fitness","Complete guide to health and fitness lifestyle",books,27.99,"health,fitness,lifestyle,wellness,exercise"
550e8400-e29b-41d4-a716-446655440040,BEA001,"Moisturizing Cream","Anti-aging moisturizing cream with SPF protection",beauty,39.99,"moisturizer,anti-aging,spf,skincare,protection"
550e8400-e29b-41d4-a716-446655440041,BEA002,"Shampoo & Conditioner","Organic shampoo and conditioner set for all hair types",beauty,24.99,"shampoo,conditioner,organic,hair,natural"
550e8400-e29b-41d4-a716-446655440042,BEA003,"Makeup Palette","Professional makeup palette with 20 eyeshadow colors",beauty,49.99,"makeup,palette,eyeshadow,professional,cosmetics"
550e8400-e29b-41d4-a716-446655440043,BEA004,"Perfume","Luxury floral perfume with long-lasting fragrance",beauty,79.99,"perfume,luxury,floral,fragrance,long-lasting"
550e8400-e29b-41d4-a716-446655440044,BEA005,"Face Mask Set","Hydrating face mask set for glowing skin",beauty,19.99,"face-mask,hydrating,glowing,skincare,treatment"
550e8400-e29b-41d4-a716-446655440045,BEA006,"Nail Polish Set","Vibrant nail polish set with 6 different colors",beauty,16.99,"nail-polish,vibrant,colors,manicure,beauty"
550e8400-e29b-41d4-a716-446655440046,BEA007,"Hair Dryer","Professional ionic hair dryer with multiple settings",beauty,69.99,"hair-dryer,professional,ionic,settings,styling"
550e8400-e29b-41d4-a716-446655440047,BEA008,"Skincare Serum","Vitamin C serum for bright and radiant skin",beauty,34.99,"serum,vitamin-c,bright,radiant,skincare"
550e8400-e29b-41d4-a716-446655440048,BEA009,"Lipstick Set","Matte lipstick set with 5 trendy colors",beauty,29.99,"lipstick,matte,trendy,colors,cosmetics"
550e8400-e29b-41d4-a716-446655440049,BEA010,"Body Lotion","Luxurious body lotion with shea butter and vitamins",beauty,22.99,"body-lotion,luxurious,shea-butter,vitamins,moisturizing"
